Name,Color,Rarity,# GIH,GIH WR
Jugan Defends the Temple,G,M,6479,68.6%
Fable of the Mirror-Breaker,R,R,11935,67.2%
The Wandering Emperor,W,M,5079,67.2%
Farewell,W,R,8686,66.2%
Inventive Iteration,U,R,13290,66.1%
Invoke the Ancients,G,R,10892,64.9%
"Tatsunari, Toad Rider",UBG,R,11907,64.5%
The Kami War,WUBRG,M,4130,64.2%
"Junji, the Midnight Sky",B,M,5317,64.0%
Blossom Prancer,G,U,41249,64.0%
Kappa Tech-Wrecker,G,U,41378,63.9%
Reckoner Bankbuster,,R,12242,63.7%
"Ao, the Dawn Sky",W,M,5457,63.6%
Life of Toshiro Umezawa,B,U,54999,63.5%
"Kairi, the Swirling Sky",U,M,5580,63.5%
"Kura, the Boundless Sky",G,M,5323,63.0%
Kaito Shizuki,UB,M,4388,63.0%
"Tameshi, Reality Architect",WU,R,11817,63.0%
Teachings of the Kirin,G,R,10495,62.9%
The Restoration of Eiganjo,W,R,10605,62.9%
The Reality Chip,U,R,12873,62.8%
Boseiju Reaches Skyward,G,U,53138,62.8%
Behold the Unspeakable,U,U,54293,62.7%
Kami of Transience,G,R,11128,62.7%
Biting-Palm Ninja,B,R,10991,62.2%
"Shigeki, Jukai Visionary",G,R,12381,61.6%
"Kyodai, Soul of Kamigawa",WUBRG,R,10451,61.5%
Surgehacker Mech,,R,9717,61.2%
Imperial Oath,W,C,67892,60.9%
Okiba Reckoner Raid,B,C,106741,60.9%
Blade of the Oni,B,M,5516,60.8%
Spring-Leaf Avenger,G,R,11248,60.7%
Circuit Mender,,U,40467,60.6%
Thundering Raiju,R,R,8234,60.5%
Jukai Naturalist,WG,U,25150,60.5%
Spirited Companion,W,C,79004,60.2%
Soul Transfer,B,R,10754,60.2%
Generous Visitor,G,U,34081,60.2%
Twinshot Sniper,R,U,30857,60.1%
Silver-Fur Master,UB,U,22022,60.0%
The Long Reach of Night,B,U,44581,59.9%
Touch the Spirit Realm,W,U,28868,59.9%
Michiko's Reign of Truth,W,U,41619,59.9%
"Atsushi, the Blazing Sky",R,M,4228,59.8%
Oni-Cult Anvil,BR,U,22915,59.7%
Suit Up,U,C,25061,59.7%
Virus Beetle,B,C,91188,59.6%
Weaver of Harmony,G,R,10954,59.6%
Banishing Slash,W,U,23487,59.5%
The Modern Age,U,C,89293,59.5%
Moon-Circuit Hacker,U,C,75437,59.3%
Spinning Wheel Kick,G,U,27348,59.3%
Twisted Embrace,B,C,80503,59.2%
Mindlink Mech,U,R,9499,59.1%
Kumano Faces Kakkazan,R,U,28914,59.1%
"Tamiyo, Compleated Sage",UG,M,4718,59.0%
Network Disruptor,U,C,77735,58.9%
"Raiyuu, Storm's Edge",WR,R,4652,58.9%
Enthusiastic Mechanaut,UR,U,15716,58.9%
Invoke Despair,B,R,7090,58.9%
"Kotose, the Silent Spider",UB,R,9274,58.9%
Azusa's Many Journeys,G,U,40234,58.8%
Gravelighter,B,U,26706,58.8%
Colossal Skyturtle,UG,U,32215,58.7%
"Jin-Gitaxias, Progress Tyrant",U,M,4575,58.7%
Nezumi Prowler,B,U,29094,58.6%
Gloomshrieker,BG,U,33756,58.6%
Patchwork Automaton,,U,24306,58.5%
Invoke the Winds,U,R,8522,58.5%
Dockside Chef,B,U,29134,58.4%
Assassin's Ink,B,U,28569,58.4%
Lion Sash,W,R,9404,58.4%
Tribute to Horobi,B,R,10993,58.4%
Selfless Samurai,W,U,21431,58.3%
Tamiyo's Safekeeping,G,C,28358,58.3%
Prodigy's Prototype,WU,U,11745,58.3%
Prosperous Thief,U,U,26545,58.3%
Moonsnare Specialist,U,C,81351,58.3%
March of Wretched Sorrow,B,R,10567,58.3%
The Fall of Lord Konda,W,U,32099,58.2%
"Boseiju, Who Endures",G,R,9765,58.2%
March of Otherworldly Light,W,R,8650,58.2%
Satoru Umezawa,UB,R,7541,58.1%
Roadside Reliquary,,U,22435,58.1%
Invoke Justice,W,R,5333,58.0%
Master's Rebuke,G,C,70225,58.0%
Clawing Torment,B,C,32127,57.9%
Fang of Shigeki,G,C,82574,57.9%
Kami of Terrible Secrets,B,C,53620,57.8%
Tales of Master Seshiro,G,C,80712,57.8%
Harmonious Emergence,G,C,36565,57.8%
Jukai Preserver,G,C,79081,57.7%
Mukotai Ambusher,B,C,56838,57.7%
Bamboo Grove Archer,G,C,55512,57.7%
"Tezzeret, Betrayer of Flesh",U,M,4021,57.6%
Searchlight Companion,,C,67655,57.6%
"Eiganjo, Seat of the Empire",W,R,8339,57.5%
Dokuchi Shadow-Walker,B,C,39373,57.3%
Kodama of the West Tree,G,M,4355,57.3%
"Hidetsugu, Devouring Chaos",BR,R,9778,57.3%
Cloudsteel Kirin,W,R,8898,57.3%
Fade into Antiquity,G,C,71756,57.2%
"Goro-Goro, Disciple of Ryusei",R,R,7781,57.2%
Brilliant Restoration,W,R,5160,57.1%
High-Speed Hoverbike,,U,24148,57.1%
Inkrise Infiltrator,B,C,47275,57.1%
Kami's Flare,R,C,58070,57.0%
Experimental Synthesizer,R,C,51571,57.0%
Dismal Backwater,UB,B,23834,56.9%
Sokenzan Smelter,R,U,22070,56.9%
Lethal Exploit,B,C,62641,56.9%
Go-Shintai of Shared Purpose,W,U,20944,56.9%
Season of Renewal,G,C,64872,56.9%
Leech Gauntlet,B,U,27086,56.9%
Era of Enlightenment,W,C,60431,56.8%
Geothermal Kami,G,C,70811,56.8%
"Otawara, Soaring City",U,R,8703,56.7%
Thornwood Falls,UG,B,23303,56.7%
Tamiyo's Compleation,U,C,65229,56.7%
Commune with Spirits,G,C,52015,56.6%
Seismic Wave,R,U,20153,56.5%
Lizard Blades,R,R,7998,56.5%
Tranquil Cove,WU,B,19165,56.4%
Mukotai Soulripper,B,R,6833,56.4%
Eater of Virtue,,R,10913,56.4%
Voltage Surge,R,C,56620,56.3%
Golden-Tail Disciple,W,C,45974,56.3%
Thousand-Faced Shadow,U,R,8917,56.3%
Repel the Vile,W,C,28714,56.3%
"Takenuma, Abandoned Mire",B,R,8995,56.2%
Blossoming Sands,WG,B,23830,56.2%
Ogre-Head Helm,R,R,8397,56.2%
Rabbit Battery,R,U,24365,56.1%
Shrine Steward,,C,20108,56.1%
Go-Shintai of Boundless Vigor,G,U,26206,56.0%
Intercessor's Arrest,W,C,59901,56.0%
Jungle Hollow,BG,B,24277,55.9%
Sky-Blessed Samurai,W,U,21099,55.8%
Boon of Boseiju,G,U,6141,55.8%
Return to Action,B,C,14154,55.8%
Jukai Trainee,G,C,43713,55.8%
Favor of Jukai,G,C,9946,55.8%
Bearer of Memory,G,C,42301,55.7%
Nezumi Bladeblesser,B,C,36439,55.7%
Wanderer's Intervention,W,C,34860,55.6%
Skyswimmer Koi,U,C,45570,55.6%
Born to Drive,W,U,9036,55.5%
Greater Tanuki,G,C,75561,55.5%
Moonfolk Puzzlemaker,U,C,44732,55.5%
Mirrorshell Crab,U,C,38300,55.4%
Disruption Protocol,U,C,12715,55.4%
Ninja's Kunai,,C,53610,55.3%
Kami of Restless Shadows,B,C,12527,55.3%
Scoured Barrens,WB,B,19840,55.3%
"Naomi, Pillar of Order",WB,U,16322,55.3%
Blade-Blizzard Kitsune,W,U,15665,55.2%
You Are Already Dead,B,C,21288,55.2%
Mothrider Patrol,W,C,38175,55.1%
Towashi Guide-Bot,,U,22995,55.1%
Sunblade Samurai,W,C,57959,55.1%
Ironhoof Boar,R,C,39454,55.1%
Essence Capture,U,U,7204,55.0%
Containment Construct,,U,24291,55.0%
