Name,Color,Rarity,# Seen,ALSA,# Picked,ATA,# GP,GP WR,# OH,OH WR,# GD,GD WR,# GIH,GIH WR,# GND,GND WR,IWD
Jugan Defends the Temple,G,M,1980,1.32,1646,1.29,9508,60.4%,1744,71.8%,3266,68.0%,5010,69.3%,4967,52.6%,16.7pp
Fable of the Mirror-Breaker,R,R,4980,1.65,3500,1.60,18647,58.7%,3414,72.9%,5293,64.1%,8707,67.5%,10329,51.9%,15.6pp
The Wandering Emperor,W,M,1792,1.10,1528,1.09,8158,58.9%,1403,66.9%,2391,67.7%,3794,67.4%,4436,51.9%,15.5pp
Inventive Iteration,U,R,5207,1.69,3602,1.64,19355,59.1%,3259,65.2%,6930,66.5%,10189,66.1%,10008,52.8%,13.2pp
Kappa Tech-Wrecker,G,U,26869,2.89,11810,3.19,56078,58.5%,11827,66.4%,23567,65.1%,35394,65.6%,28628,53.6%,11.9pp
Invoke the Ancients,G,R,6558,2.14,3415,2.13,17409,58.4%,2907,63.9%,5056,66.2%,7963,65.4%,9718,53.3%,12.0pp
Blossom Prancer,G,U,26108,2.81,11940,3.10,56906,58.3%,11126,62.9%,22672,66.5%,33798,65.3%,29641,53.2%,12.1pp
The Kami War,WUBRG,M,4199,2.74,1605,2.78,5264,54.6%,896,60.4%,2033,67.3%,2929,65.2%,2536,44.3%,20.9pp
Farewell,W,R,5565,1.82,2695,1.79,12273,58.6%,2025,62.3%,3729,66.8%,5754,65.2%,6619,53.1%,12.1pp
"Junji, the Midnight Sky",B,M,1720,1.16,1525,1.14,8561,58.3%,1407,62.8%,2834,65.6%,4241,64.7%,4677,52.9%,11.8pp
Biting-Palm Ninja,B,R,4818,1.57,3276,1.56,17394,58.3%,3103,64.6%,5868,64.3%,8971,64.4%,9611,54.5%,10.0pp
"Tatsunari, Toad Rider",UBG,R,4309,1.43,3337,1.41,18235,58.4%,3160,65.9%,6194,63.3%,9354,64.2%,9940,53.3%,10.9pp
Life of Toshiro Umezawa,B,U,36404,2.82,15736,3.15,72844,58.5%,15232,64.7%,27780,63.9%,43012,64.2%,36770,53.9%,10.3pp
Reckoner Bankbuster,,R,3746,1.20,3221,1.19,19018,58.2%,3568,64.0%,5659,64.1%,9227,64.0%,10161,53.4%,10.6pp
"Shigeki, Jukai Visionary",G,R,6115,1.95,3601,1.95,18282,57.0%,3423,60.9%,12845,64.7%,16268,63.9%,9650,52.9%,11.0pp
"Kura, the Boundless Sky",G,M,1950,1.25,1613,1.24,8550,57.7%,1439,61.2%,2954,65.1%,4393,63.8%,4677,53.0%,10.8pp
"Ao, the Dawn Sky",W,M,1886,1.13,1625,1.12,8641,57.2%,1530,62.5%,2804,64.1%,4334,63.5%,4675,51.6%,12.0pp
"Tameshi, Reality Architect",WU,R,5980,1.97,3536,1.91,16953,57.2%,2973,58.6%,5929,65.9%,8902,63.5%,8728,51.4%,12.0pp
The Reality Chip,U,R,5245,1.70,3562,1.68,18650,57.6%,3324,61.6%,6352,64.5%,9676,63.5%,9727,52.4%,11.0pp
Kaito Shizuki,UB,M,2071,1.34,1472,1.29,6628,57.7%,1128,66.0%,2029,61.9%,3157,63.4%,3551,53.3%,10.1pp
Behold the Unspeakable,U,U,31924,2.61,15460,2.79,66747,57.3%,13228,59.7%,29006,64.9%,42234,63.3%,31816,52.3%,10.9pp
Boseiju Reaches Skyward,G,U,36250,2.92,14669,3.20,68384,57.9%,13926,62.7%,26941,63.4%,40867,63.2%,33530,52.8%,10.4pp
